init_time,track_id,sample,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
2026-05-14 18:00:00,70W,17,42,6.6000000000000005,150.9,1007.0,27.019376
2026-05-14 18:00:00,70W,18,42,6.2,153.0,1008.0,26.047456
2026-05-14 18:00:00,70W,18,48,8.8,150.3,1005.0,26.047456
2026-05-14 18:00:00,70W,18,54,8.5,148.9,1006.0,28.963216
2026-05-14 18:00:00,70W,18,60,8.4,147.70000000000002,1002.0,30.907056
2026-05-14 18:00:00,70W,18,66,8.4,146.8,1005.0,27.991296000000002
2026-05-14 18:00:00,70W,18,72,8.3,145.9,1002.0,27.991296000000002
2026-05-14 18:00:00,70W,18,78,8.5,145.0,1006.0,29.935136
2026-05-14 18:00:00,70W,18,84,8.9,144.4,1002.0,23.909232000000003
2026-05-14 18:00:00,70W,18,90,9.1,143.9,1004.0,32.07336
2026-05-14 18:00:00,70W,18,96,9.3,143.1,1001.0,30.907056
2026-05-14 18:00:00,70W,18,102,9.6,142.6,1003.0,32.07336
2026-05-14 18:00:00,70W,18,108,10.1,142.1,1000.0,36.93296
2026-05-14 18:00:00,70W,18,114,10.5,141.20000000000002,1001.0,35.96104
2026-05-14 18:00:00,70W,18,120,10.8,140.4,997.0,41.015024000000004
2026-05-14 18:00:00,70W,18,126,11.200000000000001,139.5,998.0,43.930784
2026-05-14 18:00:00,70W,18,132,11.700000000000001,138.8,995.0,45.09708800000001
2026-05-14 18:00:00,70W,18,138,12.0,138.0,996.0,48.012848000000005
2026-05-14 18:00:00,70W,18,144,12.4,137.3,994.0,50.928608000000004
2026-05-14 18:00:00,70W,19,6,22.8,142.20000000000002,1005.0,33.04528
2026-05-14 18:00:00,70W,19,12,23.7,142.6,1005.0,36.93296
2026-05-14 18:00:00,70W,20,84,21.400000000000002,130.3,1003.0,40.043104
2026-05-14 18:00:00,70W,20,90,22.400000000000002,130.1,999.0,53.066832000000005
2026-05-14 18:00:00,70W,20,96,23.6,130.0,998.0,48.012848000000005
2026-05-14 18:00:00,70W,20,102,24.900000000000002,129.7,998.0,49.95668800000001
2026-05-14 18:00:00,70W,20,108,26.2,129.8,993.0,48.012848000000005
2026-05-14 18:00:00,70W,20,114,27.3,129.7,997.0,41.986944
2026-05-14 18:00:00,70W,20,120,28.400000000000002,129.7,999.0,37.90488
2026-05-14 18:00:00,70W,20,126,29.2,129.7,1001.0,34.98912
2026-05-14 18:00:00,70W,20,132,30.1,130.3,1001.0,32.07336
2026-05-14 18:00:00,70W,20,138,31.1,131.2,1004.0,33.04528
2026-05-14 18:00:00,70W,20,144,32.5,133.2,1003.0,33.04528
2026-05-14 18:00:00,70W,21,6,22.7,142.3,1006.0,35.96104
2026-05-14 18:00:00,70W,21,24,26.8,144.9,1006.0,36.93296
2026-05-14 18:00:00,70W,21,30,28.6,145.8,1006.0,41.986944
2026-05-14 18:00:00,70W,22,0,7.1000000000000005,154.6,1007.0,25.075536
2026-05-14 18:00:00,70W,22,6,6.9,153.9,1009.0,32.07336
2026-05-14 18:00:00,70W,22,12,9.3,151.20000000000002,1007.0,28.963216
2026-05-14 18:00:00,70W,23,0,6.8,151.20000000000002,1006.0,22.937312000000002
2026-05-14 18:00:00,70W,23,6,6.7,148.0,1008.0,21.965392
2026-05-14 18:00:00,70W,24,36,5.6000000000000005,178.3,1007.0,18.077712000000002
2026-05-14 18:00:00,70W,24,60,5.1000000000000005,175.70000000000002,1005.0,25.075536
2026-05-14 18:00:00,70W,24,72,7.4,174.5,1004.0,35.96104
2026-05-14 18:00:00,70W,24,78,8.1,174.5,1005.0,34.98912
2026-05-14 18:00:00,70W,24,84,8.1,172.6,1001.0,45.09708800000001
2026-05-14 18:00:00,70W,24,90,8.1,171.20000000000002,1003.0,43.930784
2026-05-14 18:00:00,70W,24,96,7.9,169.6,1003.0,34.0172
2026-05-14 18:00:00,70W,24,102,7.4,168.0,1004.0,30.907056
2026-05-14 18:00:00,70W,24,108,6.8,167.4,1004.0,28.963216
2026-05-14 18:00:00,70W,24,114,9.0,167.70000000000002,1007.0,32.07336
2026-05-14 18:00:00,70W,24,120,9.1,165.8,1005.0,27.991296000000002
2026-05-14 18:00:00,70W,24,126,9.3,164.8,1007.0,27.991296000000002
2026-05-14 18:00:00,70W,24,132,10.200000000000001,164.3,1005.0,23.909232000000003
2026-05-14 18:00:00,70W,24,138,10.9,162.9,1008.0,21.965392
2026-05-14 18:00:00,70W,24,144,10.700000000000001,161.8,1006.0,22.937312000000002
2026-05-14 18:00:00,70W,26,0,6.0,152.6,1006.0,20.993472
2026-05-14 18:00:00,70W,26,6,6.8,153.20000000000002,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,26,12,6.0,152.20000000000002,1006.0,22.937312000000002
2026-05-14 18:00:00,70W,26,24,4.6000000000000005,152.5,1005.0,22.937312000000002
2026-05-14 18:00:00,70W,26,48,7.2,153.3,1005.0,23.909232000000003
2026-05-14 18:00:00,70W,26,54,7.6000000000000005,152.0,1008.0,23.909232000000003
2026-05-14 18:00:00,70W,26,60,7.8,148.8,1005.0,25.075536
2026-05-14 18:00:00,70W,26,78,9.200000000000001,147.4,1008.0,25.075536
